,dominant_topic,month
816,10,2021-01
817,8,2021-08
818,6,2021-01
819,11,2021-01
820,9,2021-03
821,4,2021-02
822,9,2021-04
823,0,2021-01
824,11,2021-12
825,8,2021-01
826,0,2021-02
827,5,2022-07
828,5,2022-06
829,10,2021-01
830,4,2021-03
831,0,2021-01
832,8,2020-11
833,0,2021-01
834,10,2021-02
835,5,2022-10
836,3,2021-03
837,1,2021-03
838,2,2020-12
839,3,2021-07
840,4,2021-01
841,7,2021-03
842,0,2021-01
843,9,2020-12
844,3,2021-01
845,6,2021-11
846,4,2022-08
847,0,2021-01
848,1,2021-01
849,10,2021-01
850,0,2021-10
851,0,2021-02
852,3,2020-12
853,1,2021-09
854,6,2022-01
855,3,2022-02
856,2,2021-12
857,3,2021-05
858,9,2022-07
859,3,2021-12
860,0,2021-02
861,6,2021-05
862,3,2021-05
863,7,2021-08
864,2,2022-07
865,0,2021-01
866,10,2021-07
867,3,2021-10
868,0,2021-08
869,7,2020-11
870,2,2021-12
871,6,2021-12
872,10,2021-07
873,8,2021-03
874,0,2021-03
875,0,2021-01
876,0,2021-01
877,2,2022-11
878,6,2021-07
879,10,2021-09
880,10,2021-01
881,1,2021-01
882,6,2020-09
883,2,2021-04
884,11,2021-09
885,2,2021-07
886,0,2021-03
887,6,2022-09
888,0,2021-05
889,4,2021-08
890,4,2022-06
891,8,2021-10
892,3,2022-12
893,11,2022-03
894,6,2022-07
895,10,2021-02
896,5,2022-07
897,7,2021-04
898,2,2022-01
899,11,2021-02
900,5,2021-03
901,2,2021-10
902,8,2022-03
903,0,2021-05
904,0,2021-12
905,8,2021-02
906,11,2021-07
907,4,2020-11
908,7,2021-11
909,7,2021-03
910,0,2021-03
911,2,2021-01
912,7,2021-08
913,7,2021-03
914,7,2021-05
915,11,2021-06
916,2,2021-03
917,10,2021-02
918,0,2021-12
919,0,2021-01
920,0,2020-12
921,4,2021-01
922,9,2021-12
923,0,2021-03
924,11,2021-10
925,8,2021-02
926,7,2021-01
927,1,2021-01
928,0,2021-03
929,1,2021-03
930,3,2021-07
931,0,2021-07
932,3,2021-08
933,2,2021-05
934,3,2022-03
935,8,2021-02
936,10,2021-05
937,11,2021-01
938,3,2021-01
939,10,2021-12
940,11,2021-02
941,4,2021-09
942,6,2021-03
943,6,2021-03
944,8,2021-01
945,6,2021-07
946,2,2021-03
947,7,2022-12
948,2,2021-11
949,3,2021-09
950,11,2021-12
951,7,2021-08
952,7,2021-12
953,5,2022-05
954,0,2021-05
955,9,2021-04
956,7,2022-04
957,11,2021-10
958,1,2021-01
959,6,2021-02
960,11,2021-03
961,11,2020-12
962,0,2021-02
963,4,2022-03
964,0,2021-11
965,4,2020-10
966,10,2022-01
967,2,2021-01
968,0,2021-10
969,4,2021-01
970,8,2021-04
971,10,2021-08
972,11,2021-01
973,3,2020-12
974,3,2020-09
975,1,2021-02
976,9,2021-07
977,6,2021-04
978,1,2021-01
979,4,2022-12
980,4,2021-05
981,9,2022-09
982,9,2021-07
983,3,2022-12
984,6,2020-11
985,10,2021-07
986,2,2021-01
987,11,2021-06
988,1,2022-07
989,0,2020-12
990,8,2022-04
991,3,2021-05
992,3,2020-12
993,4,2020-12
994,10,2021-05
995,1,2021-03
996,7,2021-01
997,4,2022-03
998,11,2021-02
999,2,2022-08
1000,8,2021-01
1001,2,2021-01
1002,3,2021-11
1003,9,2020-09
1004,0,2021-03
1005,8,2021-04
1006,6,2021-07
1007,10,2021-12
1008,6,2022-02
1009,5,2021-12
1010,6,2020-09
1011,5,2022-03
1012,6,2022-12
1013,6,2021-05
1014,4,2021-01
1015,11,2021-08
1016,6,2021-12
1017,0,2022-08
1018,7,2022-04
1019,11,2022-06
1020,0,2021-12
1021,6,2021-08
1022,4,2021-10
1023,1,2022-12
1024,5,2021-12
1025,5,2021-11
1026,0,2021-10
1027,4,2021-01
1028,4,2021-04
1029,10,2021-01
1030,5,2021-04
1031,3,2021-01
1032,0,2021-07
1033,2,2022-12
1034,11,2021-07
1035,7,2021-01
1036,0,2021-10
1037,1,2021-12
1038,0,2021-04
1039,10,2021-02
1040,10,2021-03
1041,4,2021-05
1042,0,2021-02
1043,10,2021-02
1044,1,2021-11
1045,11,2021-01
1046,2,2020-08
1047,5,2022-05
1048,5,2022-05
1049,7,2021-06
1050,0,2021-01
1051,4,2021-01
1052,9,2021-07
1053,0,2021-10
1054,3,2021-07
1055,0,2021-03
1056,1,2021-02
1057,11,2021-01
1058,11,2021-05
1059,3,2021-01
1060,8,2022-08
1061,10,2021-04
1062,8,2021-11
1063,1,2021-01
1064,3,2021-07
1065,11,2021-01
1066,10,2020-01
1067,3,2021-10
1068,0,2021-02
1069,3,2021-01
1070,8,2021-03
1071,2,2020-08
1072,4,2021-06
1073,0,2021-02
1074,9,2021-09
1075,2,2021-08
1076,8,2020-12
1077,10,2021-03
1078,3,2021-04
1079,11,2021-04
1080,1,2020-12
1081,6,2021-08
1082,4,2020-09
1083,6,2021-04
1084,3,2022-02
1085,4,2021-07
1086,0,2021-05
1087,9,2021-02
1088,11,2020-09
1089,9,2021-08
1090,4,2021-05
1091,2,2021-01
1092,9,2021-09
1093,11,2021-10
1094,7,2021-10
1095,6,2021-01
1096,9,2022-07
1097,8,2022-01
1098,11,2021-02
1099,7,2021-02
1100,3,2021-11
1101,9,2021-10
1102,6,2021-04
1103,0,2021-03
1104,9,2021-06
1105,0,2021-07
1106,6,2021-01
1107,2,2021-03
1108,8,2021-01
1109,7,2021-08
1110,4,2021-10
1111,2,2021-06
1112,10,2021-01
1113,11,2021-10
1114,7,2022-10
1115,7,2021-11
1116,4,2020-09
1117,2,2020-12
1118,3,2021-05
1119,6,2022-09
1120,4,2022-01
1121,10,2021-01
1122,0,2020-12
1123,0,2021-07
1124,0,2021-01
1125,2,2021-03
1126,2,2021-07
1127,10,2021-01
1128,4,2021-08
1129,10,2021-01
1130,10,2021-01
1131,4,2021-05
1132,4,2022-08
1133,10,2021-02
1134,10,2021-02
1135,10,2020-12
1136,4,2021-12
1137,6,2021-05
1138,0,2021-01
1139,4,2021-10
1140,10,2021-02
1141,1,2021-10
1142,11,2021-06
1143,6,2021-08
1145,4,2022-07
1146,0,2021-01
1147,8,2021-12
1148,5,2022-11
1149,0,2021-01
1150,5,2021-05
1151,0,2020-12
1152,7,2021-05
1153,10,2022-12
1154,6,2021-08
1155,4,2021-11
1156,9,2020-12
1157,11,2021-02
1158,3,2021-12
1159,3,2021-05
1160,9,2021-06
1161,2,2021-04
1162,7,2021-05
1163,5,2021-12
1164,10,2021-10
1165,8,2020-11
1166,10,2020-12
1167,10,2021-01
1168,9,2022-01
1169,3,2021-10
1170,3,2020-12
1171,0,2021-12
1172,0,2020-08
1173,11,2021-07
1174,3,2022-02
1175,3,2021-02
1176,0,2021-11
1177,3,2021-12
1178,6,2020-12
1179,0,2021-09
1180,10,2021-03
1181,3,2021-10
1182,4,2021-11
1183,0,2021-04
1184,4,2021-01
1185,4,2021-01
1186,2,2020-12
1187,3,2022-01
1188,3,2021-01
1189,6,2022-01
1190,10,2021-02
1191,1,2021-01
1192,8,2021-10
1193,6,2021-08
1194,3,2021-02
1195,10,2020-12
1196,2,2021-04
1197,11,2021-04
1198,4,2021-09
1199,8,2021-06
1200,3,2021-02
1201,11,2022-04
1202,8,2022-06
1203,11,2021-06
1204,3,2021-02
1205,9,2022-12
1206,7,2021-03
1207,0,2021-12
1208,11,2021-03
1209,2,2021-09
1210,2,2021-01
1211,6,2020-10
1212,0,2020-08
1213,6,2020-11
1214,1,2021-01
1215,11,2021-10
1216,1,2021-01
1217,7,2021-03
1218,10,2021-10
1219,11,2021-08
1220,0,2021-01
1221,3,2021-08
1222,1,2021-01
1223,9,2020-11
1224,11,2021-11
1225,0,2021-07
1226,10,2020-12
1227,4,2021-09
1228,7,2022-01
1229,10,2021-02
1230,0,2021-12
1231,2,2021-08
1232,1,2021-08
1233,7,2021-10
1234,3,2021-01
1235,7,2021-05
1236,6,2021-12
1237,2,2021-03
1238,8,2020-08
1239,0,2021-07
1240,2,2021-01
1241,0,2021-09
1242,6,2021-08
1243,0,2021-02
1244,8,2021-06
1245,11,2021-02
1246,11,2022-10
1247,2,2021-10
1248,0,2021-08
1249,4,2021-12
1250,0,2021-01
1251,10,2021-09
1252,2,2021-04
1253,7,2021-12
1254,10,2021-02
1255,3,2021-08
1256,10,2021-10
1257,6,2020-12
1258,0,2021-01
1259,8,2021-03
1260,9,2021-07
1261,2,2021-03
1262,6,2021-01
1263,1,2021-02
1264,0,2021-10
1265,0,2021-06
1266,4,2020-12
1267,11,2021-07
1268,4,2020-09
1269,8,2022-02
1270,2,2022-04
1271,2,2021-01
1272,6,2020-10
1273,2,2021-11
1274,4,2021-04
1275,10,2021-03
1276,5,2021-10
1277,11,2021-03
1278,9,2021-12
1279,9,2021-04
1280,0,2021-11
1281,8,2021-07
1282,7,2021-02
1283,6,2021-07
1284,5,2022-03
1285,0,2021-09
1286,11,2021-10
1287,11,2021-02
1288,9,2022-01
1289,11,2021-01
1290,11,2021-01
1291,3,2021-01
1292,4,2020-12
1293,4,2021-08
1294,3,2022-09
1295,2,2021-04
1296,5,2021-04
1297,0,2022-02
1298,2,2021-03
1299,0,2021-05
1300,3,2021-11
1301,3,2021-03
1302,6,2021-02
1303,4,2022-09
1304,0,2021-01
1305,2,2022-01
1306,0,2021-12
1307,11,2021-10
1308,0,2021-01
1309,11,2021-01
1310,7,2021-01
1311,9,2021-01
1312,0,2021-07
1313,2,2020-09
1314,11,2022-12
1315,2,2021-08
1316,6,2021-04
1317,1,2021-08
1318,2,2021-05
1319,8,2021-01
1320,3,2021-08
1321,3,2021-02
1322,3,2020-05
1323,3,2021-01
1324,6,2020-11
1325,4,2021-11
1326,10,2021-03
1327,7,2021-12
1328,11,2021-02
1329,9,2021-05
1330,2,2021-08
1331,8,2020-11
1332,0,2020-12
1333,11,2021-08
1334,0,2021-02
1335,8,2021-06
1336,4,2020-12
1337,4,2022-06
1338,8,2021-09
1339,8,2021-09
1340,4,2021-08
1341,7,2022-01
1342,0,2021-06
1343,8,2021-12
1344,1,2021-03
1345,3,2021-05
1346,3,2021-12
1347,1,2021-04
1348,2,2021-03
1349,1,2021-02
1350,6,2021-01
1351,2,2021-01
1352,0,2021-09
1353,11,2021-06
1354,8,2021-03
1355,0,2021-02
1356,5,2021-12
1357,2,2021-08
1358,1,2021-01
1359,0,2021-01
1360,4,2020-10
1361,1,2021-01
1362,11,2021-07
1363,2,2021-02
1364,3,2020-11
1365,9,2020-09
1366,0,2022-01
1367,11,2021-01
1368,9,2021-02
1369,6,2021-06
1370,4,2021-11
1371,5,2021-08
1372,3,2021-04
1373,7,2021-12
1374,6,2021-01
1375,6,2021-04
1376,0,2021-10
1377,2,2021-10
1378,6,2021-03
1379,4,2021-07
1380,4,2022-02
1381,0,2021-06
1382,1,2021-07
1383,1,2021-07
1384,9,2021-03
1385,6,2021-07
1386,7,2021-11
1387,6,2022-10
1388,11,2021-12
1389,0,2020-08
1390,3,2021-07
1391,6,2021-01
1392,4,2022-01
1393,10,2020-12
1394,8,2021-03
1395,0,2021-02
1396,5,2022-02
1397,7,2022-08
1398,0,2021-11
1399,3,2021-03
1400,7,2021-11
1401,10,2021-05
1402,6,2021-01
1403,9,2021-10
1404,7,2020-12
1405,3,2020-12
1406,11,2022-02
1407,5,2021-08
1408,3,2021-07
1409,1,2021-02
1410,3,2021-09
1411,4,2022-07
1412,8,2021-04
1413,3,2021-07
1414,11,2021-02
1415,6,2021-08
1416,11,2020-12
1417,6,2021-12
1418,11,2020-12
1419,6,2021-01
1420,2,2021-07
1421,11,2021-09
1422,6,2021-12
1423,0,2021-11
1424,1,2021-09
1425,4,2021-02
1426,3,2021-07
1427,7,2021-04
1428,1,2021-01
1429,4,2021-07
1430,2,2021-07
1431,8,2020-12
1432,4,2021-02
1433,1,2021-01
1434,2,2021-01
1435,3,2021-12
1436,3,2021-03
1437,6,2021-12
1438,2,2021-01
1439,6,2021-09
1440,11,2020-09
1441,8,2022-01
1442,6,2021-01
1443,8,2021-07
1444,0,2021-12
1445,2,2021-03
1446,2,2022-01
1447,8,2021-01
1448,9,2021-01
1449,11,2021-03
1450,7,2021-01
1451,9,2021-09
1452,10,2020-12
1453,2,2021-09
1454,8,2021-02
1455,11,2021-03
1456,11,2021-11
1457,6,2021-06
1458,10,2021-01
1459,1,2021-01
1460,6,2021-02
1461,11,2021-04
1462,4,2022-05
1463,9,2021-12
1464,11,2021-11
1465,5,2022-10
1466,2,2021-05
1467,11,2021-12
1468,6,2021-05
1469,8,2022-05
1470,9,2021-10
1471,2,2020-10
1472,7,2021-09
1473,3,2021-07
1474,8,2021-10
1475,11,2021-12
1476,7,2022-02
1477,0,2021-05
1478,7,2022-02
1479,0,2021-06
1480,2,2022-01
1481,2,2021-02
1482,8,2022-04
1483,9,2021-10
1484,11,2021-12
1485,8,2022-01
1486,7,2021-01
1487,4,2022-11
1488,7,2022-07
1489,11,2020-11
1490,7,2021-03
1491,6,2021-07
1492,8,2021-02
1493,8,2021-03
1494,8,2021-09
1495,2,2021-04
1496,0,2021-09
1497,7,2021-12
1498,3,2020-12
